cancer_type	gene_symbol_label	n	total_count	freq	percentage	label_text	gene_symbol	pathway	highest_level	highest_level_label	order
ILC	CHEK2 Del	1	190	0.00526315789473684	0.526315789473684	<1	CHEK2	TP53	LEVEL_3B	LEVEL_3B	21
LUAD	CHEK2 Del	8	1357	0.00589535740604274	0.589535740604274	<1	CHEK2	TP53	LEVEL_3B	LEVEL_3B	21
LUSC	CHEK2 Del	1	170	0.00588235294117647	0.588235294117647	<1	CHEK2	TP53	LEVEL_3B	LEVEL_3B	21
PANET	CHEK2 Del	2	75	0.0266666666666667	2.66666666666667	3	CHEK2	TP53	LEVEL_3B	LEVEL_3B	21
SKCM	CHEK2 Del	1	195	0.00512820512820513	0.512820512820513	<1	CHEK2	TP53	LEVEL_3B	LEVEL_3B	21
UEC	CHEK2 Del	1	95	0.0105263157894737	1.05263157894737	1	CHEK2	TP53	LEVEL_3B	LEVEL_3B	21
ULMS	CHEK2 Del	2	57	0.0350877192982456	3.50877192982456	4	CHEK2	TP53	LEVEL_3B	LEVEL_3B	21
UTUC	CHEK2 Del	2	82	0.024390243902439	2.4390243902439	2	CHEK2	TP53	LEVEL_3B	LEVEL_3B	21
LUAD	EGFR	323	1357	0.238025055268976	23.8025055268976	24	EGFR	RTK-RAS	LEVEL_1	LEVEL_1	23
LUSC	EGFR	6	170	0.0352941176470588	3.52941176470588	4	EGFR	RTK-RAS	LEVEL_1	LEVEL_1	23
AASTR	EGFR	1	86	0.0116279069767442	1.16279069767442	1	EGFR	RTK-RAS	LEVEL_3B	LEVEL_3B	23
BLCA	EGFR	1	312	0.00320512820512821	0.32051282051282	<1	EGFR	RTK-RAS	LEVEL_3B	LEVEL_3B	23
COAD	EGFR	2	724	0.00276243093922652	0.276243093922652	<1	EGFR	RTK-RAS	LEVEL_3B	LEVEL_3B	23
GBM	EGFR	3	286	0.0104895104895105	1.04895104895105	1	EGFR	RTK-RAS	LEVEL_3B	LEVEL_3B	23
READ	EGFR	1	151	0.00662251655629139	0.662251655629139	<1	EGFR	RTK-RAS	LEVEL_3B	LEVEL_3B	23
SCLC	EGFR	1	82	0.0121951219512195	1.21951219512195	1	EGFR	RTK-RAS	LEVEL_3B	LEVEL_3B	23
UEC	EGFR	1	95	0.0105263157894737	1.05263157894737	1	EGFR	RTK-RAS	LEVEL_3B	LEVEL_3B	23
UTUC	EGFR	5	82	0.0609756097560976	6.09756097560976	6	EGFR	RTK-RAS	LEVEL_3B	LEVEL_3B	23
AASTR	EGFR Amp	14	86	0.162790697674419	16.2790697674419	16	EGFR	RTK-RAS	LEVEL_4	LEVEL_4	23
GBM	EGFR Amp	112	286	0.391608391608392	39.1608391608392	39	EGFR	RTK-RAS	LEVEL_4	LEVEL_4	23
ESCA	ERBB2 Amp	37	112	0.330357142857143	33.0357142857143	33	ERBB2	RTK-RAS	LEVEL_1	LEVEL_1	25
IDC	ERBB2 Amp	142	927	0.153182308522114	15.3182308522114	15	ERBB2	RTK-RAS	LEVEL_1	LEVEL_1	25
ILC	ERBB2 Amp	13	190	0.068421052631579	6.8421052631579	7	ERBB2	RTK-RAS	LEVEL_1	LEVEL_1	25
MDLC	ERBB2 Amp	8	56	0.142857142857143	14.2857142857143	14	ERBB2	RTK-RAS	LEVEL_1	LEVEL_1	25
STAD	ERBB2 Amp	25	151	0.165562913907285	16.5562913907285	17	ERBB2	RTK-RAS	LEVEL_1	LEVEL_1	25
COAD	ERBB2 Amp	23	724	0.031767955801105	3.1767955801105	3	ERBB2	RTK-RAS	LEVEL_2	LEVEL_2	25
COADREAD	ERBB2 Amp	1	90	0.0111111111111111	1.11111111111111	1	ERBB2	RTK-RAS	LEVEL_2	LEVEL_2	25
LUAD	ERBB2	45	1357	0.0331613854089904	3.31613854089904	3	ERBB2	RTK-RAS	LEVEL_2	LEVEL_2	25
READ	ERBB2 Amp	5	151	0.033112582781457	3.3112582781457	3	ERBB2	RTK-RAS	LEVEL_2	LEVEL_2	25
IDC	ERBB2	26	927	0.0280474649406688	2.80474649406688	3	ERBB2	RTK-RAS	LEVEL_3A	LEVEL_3A	25
ILC	ERBB2	17	190	0.0894736842105263	8.94736842105263	9	ERBB2	RTK-RAS	LEVEL_3A	LEVEL_3A	25
MDLC	ERBB2	4	56	0.0714285714285714	7.14285714285714	7	ERBB2	RTK-RAS	LEVEL_3A	LEVEL_3A	25
ACYC	ERBB2	1	73	0.0136986301369863	1.36986301369863	1	ERBB2	RTK-RAS	LEVEL_3B	LEVEL_3B	25
ACYC	ERBB2 Amp	2	73	0.0273972602739726	2.73972602739726	3	ERBB2	RTK-RAS	LEVEL_3B	LEVEL_3B	25
BLCA	ERBB2	30	312	0.0961538461538462	9.61538461538462	10	ERBB2	RTK-RAS	LEVEL_3B	LEVEL_3B	25
BLCA	ERBB2 Amp	26	312	0.0833333333333333	8.33333333333333	8	ERBB2	RTK-RAS	LEVEL_3B	LEVEL_3B	25
CHOL	ERBB2	1	57	0.0175438596491228	1.75438596491228	2	ERBB2	RTK-RAS	LEVEL_3B	LEVEL_3B	25
CHOL	ERBB2 Amp	3	57	0.0526315789473684	5.26315789473684	5	ERBB2	RTK-RAS	LEVEL_3B	LEVEL_3B	25
COAD	ERBB2	14	724	0.0193370165745856	1.93370165745856	2	ERBB2	RTK-RAS	LEVEL_3B	LEVEL_3B	25
COADREAD	ERBB2	4	90	0.0444444444444444	4.44444444444444	4	ERBB2	RTK-RAS	LEVEL_3B	LEVEL_3B	25
CSCC	ERBB2	1	55	0.0181818181818182	1.81818181818182	2	ERBB2	RTK-RAS	LEVEL_3B	LEVEL_3B	25
CSCC	ERBB2 Amp	1	55	0.0181818181818182	1.81818181818182	2	ERBB2	RTK-RAS	LEVEL_3B	LEVEL_3B	25
CUP	ERBB2	4	146	0.0273972602739726	2.73972602739726	3	ERBB2	RTK-RAS	LEVEL_3B	LEVEL_3B	25
CUP	ERBB2 Amp	6	146	0.0410958904109589	4.10958904109589	4	ERBB2	RTK-RAS	LEVEL_3B	LEVEL_3B	25
ESCA	ERBB2	3	112	0.0267857142857143	2.67857142857143	3	ERBB2	RTK-RAS	LEVEL_3B	LEVEL_3B	25
HGSOC	ERBB2 Amp	5	133	0.037593984962406	3.7593984962406	4	ERBB2	RTK-RAS	LEVEL_3B	LEVEL_3B	25
IHCH	ERBB2	1	115	0.00869565217391304	0.869565217391304	<1	ERBB2	RTK-RAS	LEVEL_3B	LEVEL_3B	25
IHCH	ERBB2 Amp	3	115	0.0260869565217391	2.60869565217391	3	ERBB2	RTK-RAS	LEVEL_3B	LEVEL_3B	25
LUAD	ERBB2 Amp	36	1357	0.0265291083271923	2.65291083271923	3	ERBB2	RTK-RAS	LEVEL_3B	LEVEL_3B	25
LUSC	ERBB2 Amp	3	170	0.0176470588235294	1.76470588235294	2	ERBB2	RTK-RAS	LEVEL_3B	LEVEL_3B	25
NBL	ERBB2 Amp	2	80	0.025	2.5	2	ERBB2	RTK-RAS	LEVEL_3B	LEVEL_3B	25
PAAD	ERBB2	3	384	0.0078125	0.78125	<1	ERBB2	RTK-RAS	LEVEL_3B	LEVEL_3B	25
PAAD	ERBB2 Amp	6	384	0.015625	1.5625	2	ERBB2	RTK-RAS	LEVEL_3B	LEVEL_3B	25
PRAD	ERBB2	3	698	0.00429799426934097	0.429799426934097	<1	ERBB2	RTK-RAS	LEVEL_3B	LEVEL_3B	25
READ	ERBB2	6	151	0.0397350993377483	3.97350993377483	4	ERBB2	RTK-RAS	LEVEL_3B	LEVEL_3B	25
SKCM	ERBB2	2	195	0.0102564102564103	1.02564102564103	1	ERBB2	RTK-RAS	LEVEL_3B	LEVEL_3B	25
STAD	ERBB2	5	151	0.033112582781457	3.3112582781457	3	ERBB2	RTK-RAS	LEVEL_3B	LEVEL_3B	25
UEC	ERBB2 Amp	3	95	0.0315789473684211	3.15789473684211	3	ERBB2	RTK-RAS	LEVEL_3B	LEVEL_3B	25
UEC	ERBB2	5	95	0.0526315789473684	5.26315789473684	5	ERBB2	RTK-RAS	LEVEL_3B	LEVEL_3B	25
UTUC	ERBB2	5	82	0.0609756097560976	6.09756097560976	6	ERBB2	RTK-RAS	LEVEL_3B	LEVEL_3B	25
BLCA	FGFR2 Fus	1	312	0.00320512820512821	0.32051282051282	<1	FGFR2	RTK-RAS	LEVEL_1	LEVEL_1	31
CHOL	FGFR2 Fus	7	57	0.12280701754386	12.280701754386	12	FGFR2	RTK-RAS	LEVEL_1	LEVEL_1	31
IHCH	FGFR2 Fus	14	115	0.121739130434783	12.1739130434783	12	FGFR2	RTK-RAS	LEVEL_1	LEVEL_1	31
CUP	FGFR2 Fus	2	146	0.0136986301369863	1.36986301369863	1	FGFR2	RTK-RAS	LEVEL_3B	LEVEL_3B	31
IDC	FGFR2 Fus	1	927	0.00107874865156419	0.107874865156419	<1	FGFR2	RTK-RAS	LEVEL_3B	LEVEL_3B	31
LUAD	FGFR2 Fus	1	1357	0.000736919675755343	0.0736919675755343	<1	FGFR2	RTK-RAS	LEVEL_3B	LEVEL_3B	31
PAAD	FGFR2 Fus	2	384	0.00520833333333333	0.520833333333333	<1	FGFR2	RTK-RAS	LEVEL_3B	LEVEL_3B	31
BLCA	FGFR2	4	312	0.0128205128205128	1.28205128205128	1	FGFR2	RTK-RAS	LEVEL_4	LEVEL_4	31
CHOL	FGFR2	1	57	0.0175438596491228	1.75438596491228	2	FGFR2	RTK-RAS	LEVEL_4	LEVEL_4	31
COAD	FGFR2	3	724	0.00414364640883978	0.414364640883978	<1	FGFR2	RTK-RAS	LEVEL_4	LEVEL_4	31
CSCC	FGFR2	2	55	0.0363636363636364	3.63636363636364	4	FGFR2	RTK-RAS	LEVEL_4	LEVEL_4	31
CUP	FGFR2	1	146	0.00684931506849315	0.684931506849315	<1	FGFR2	RTK-RAS	LEVEL_4	LEVEL_4	31
IDC	FGFR2	7	927	0.0075512405609493	0.75512405609493	<1	FGFR2	RTK-RAS	LEVEL_4	LEVEL_4	31
IHCH	FGFR2	1	115	0.00869565217391304	0.869565217391304	<1	FGFR2	RTK-RAS	LEVEL_4	LEVEL_4	31
LUAD	FGFR2	1	1357	0.000736919675755343	0.0736919675755343	<1	FGFR2	RTK-RAS	LEVEL_4	LEVEL_4	31
LUSC	FGFR2	1	170	0.00588235294117647	0.588235294117647	<1	FGFR2	RTK-RAS	LEVEL_4	LEVEL_4	31
READ	FGFR2	1	151	0.00662251655629139	0.662251655629139	<1	FGFR2	RTK-RAS	LEVEL_4	LEVEL_4	31
SEM	FGFR2	1	76	0.0131578947368421	1.31578947368421	1	FGFR2	RTK-RAS	LEVEL_4	LEVEL_4	31
SKCM	FGFR2	3	195	0.0153846153846154	1.53846153846154	2	FGFR2	RTK-RAS	LEVEL_4	LEVEL_4	31
STAD	FGFR2	1	151	0.00662251655629139	0.662251655629139	<1	FGFR2	RTK-RAS	LEVEL_4	LEVEL_4	31
UEC	FGFR2	10	95	0.105263157894737	10.5263157894737	11	FGFR2	RTK-RAS	LEVEL_4	LEVEL_4	31
UTUC	FGFR2	2	82	0.024390243902439	2.4390243902439	2	FGFR2	RTK-RAS	LEVEL_4	LEVEL_4	31
BLCA	FGFR3 Fus	5	312	0.016025641025641	1.6025641025641	2	FGFR3	RTK-RAS	LEVEL_1	LEVEL_1	33
BLCA	FGFR3	78	312	0.25	25	25	FGFR3	RTK-RAS	LEVEL_1	LEVEL_1	33
UTUC	FGFR3	30	82	0.365853658536585	36.5853658536585	37	FGFR3	RTK-RAS	LEVEL_1	LEVEL_1	33
AASTR	FGFR3	1	86	0.0116279069767442	1.16279069767442	1	FGFR3	RTK-RAS	LEVEL_3B	LEVEL_3B	33
AASTR	FGFR3 Fus	1	86	0.0116279069767442	1.16279069767442	1	FGFR3	RTK-RAS	LEVEL_3B	LEVEL_3B	33
BMGCT	FGFR3 Fus	1	70	0.0142857142857143	1.42857142857143	1	FGFR3	RTK-RAS	LEVEL_3B	LEVEL_3B	33
CSCC	FGFR3	3	55	0.0545454545454545	5.45454545454545	5	FGFR3	RTK-RAS	LEVEL_3B	LEVEL_3B	33
GBM	FGFR3 Fus	11	286	0.0384615384615385	3.84615384615385	4	FGFR3	RTK-RAS	LEVEL_3B	LEVEL_3B	33
IDC	FGFR3	1	927	0.00107874865156419	0.107874865156419	<1	FGFR3	RTK-RAS	LEVEL_3B	LEVEL_3B	33
IDC	FGFR3 Fus	1	927	0.00107874865156419	0.107874865156419	<1	FGFR3	RTK-RAS	LEVEL_3B	LEVEL_3B	33
IHCH	FGFR3 Fus	1	115	0.00869565217391304	0.869565217391304	<1	FGFR3	RTK-RAS	LEVEL_3B	LEVEL_3B	33
LUAD	FGFR3 Fus	4	1357	0.00294767870302137	0.294767870302137	<1	FGFR3	RTK-RAS	LEVEL_3B	LEVEL_3B	33
LUSC	FGFR3 Fus	1	170	0.00588235294117647	0.588235294117647	<1	FGFR3	RTK-RAS	LEVEL_3B	LEVEL_3B	33
LUSC	FGFR3	3	170	0.0176470588235294	1.76470588235294	2	FGFR3	RTK-RAS	LEVEL_3B	LEVEL_3B	33
PRAD	FGFR3 Fus	1	698	0.00143266475644699	0.143266475644699	<1	FGFR3	RTK-RAS	LEVEL_3B	LEVEL_3B	33
LUAD	FGFR3	2	1357	0.00147383935151069	0.147383935151069	<1	FGFR3	RTK-RAS	LEVEL_4	LEVEL_4	33
SKCM	FGFR3	1	195	0.00512820512820513	0.512820512820513	<1	FGFR3	RTK-RAS	LEVEL_4	LEVEL_4	33
CHOL	IDH1	13	57	0.228070175438596	22.8070175438596	23	IDH1	EPI	LEVEL_3A	LEVEL_3A	37
IHCH	IDH1	31	115	0.269565217391304	26.9565217391304	27	IDH1	EPI	LEVEL_3A	LEVEL_3A	37
AASTR	IDH1	42	86	0.488372093023256	48.8372093023256	49	IDH1	EPI	LEVEL_3B	LEVEL_3B	37
ACYC	IDH1	1	73	0.0136986301369863	1.36986301369863	1	IDH1	EPI	LEVEL_3B	LEVEL_3B	37
BMGCT	IDH1	1	70	0.0142857142857143	1.42857142857143	1	IDH1	EPI	LEVEL_3B	LEVEL_3B	37
COAD	IDH1	1	724	0.00138121546961326	0.138121546961326	<1	IDH1	EPI	LEVEL_3B	LEVEL_3B	37
GBM	IDH1	21	286	0.0734265734265734	7.34265734265734	7	IDH1	EPI	LEVEL_3B	LEVEL_3B	37
IDC	IDH1	1	927	0.00107874865156419	0.107874865156419	<1	IDH1	EPI	LEVEL_3B	LEVEL_3B	37
LUAD	IDH1	6	1357	0.00442151805453206	0.442151805453206	<1	IDH1	EPI	LEVEL_3B	LEVEL_3B	37
PAAD	IDH1	1	384	0.00260416666666667	0.260416666666667	<1	IDH1	EPI	LEVEL_3B	LEVEL_3B	37
PRAD	IDH1	5	698	0.00716332378223496	0.716332378223496	<1	IDH1	EPI	LEVEL_3B	LEVEL_3B	37
SKCM	IDH1	7	195	0.0358974358974359	3.58974358974359	4	IDH1	EPI	LEVEL_3B	LEVEL_3B	37
CUP	IDH2	1	146	0.00684931506849315	0.684931506849315	<1	IDH2	EPI	LEVEL_3B	LEVEL_3B	39
IHCH	IDH2	5	115	0.0434782608695652	4.34782608695652	4	IDH2	EPI	LEVEL_3B	LEVEL_3B	39
PAAD	IDH2	1	384	0.00260416666666667	0.260416666666667	<1	IDH2	EPI	LEVEL_3B	LEVEL_3B	39
GIST	KIT	86	137	0.627737226277372	62.7737226277372	63	KIT	RTK-RAS	LEVEL_1	LEVEL_1	41
SKCM	KIT	7	195	0.0358974358974359	3.58974358974359	4	KIT	RTK-RAS	LEVEL_2	LEVEL_2	41
BMGCT	KIT	4	70	0.0571428571428571	5.71428571428571	6	KIT	RTK-RAS	LEVEL_3B	LEVEL_3B	41
HCC	KIT	1	85	0.0117647058823529	1.17647058823529	1	KIT	RTK-RAS	LEVEL_3B	LEVEL_3B	41
IDC	KIT	2	927	0.00215749730312837	0.215749730312837	<1	KIT	RTK-RAS	LEVEL_3B	LEVEL_3B	41
LUAD	KIT	2	1357	0.00147383935151069	0.147383935151069	<1	KIT	RTK-RAS	LEVEL_3B	LEVEL_3B	41
SEM	KIT	18	76	0.236842105263158	23.6842105263158	24	KIT	RTK-RAS	LEVEL_3B	LEVEL_3B	41
LUAD	KRAS	170	1357	0.125276344878408	12.5276344878408	13	KRAS	RTK-RAS	LEVEL_3A	LEVEL_3A	43
LUSC	KRAS	5	170	0.0294117647058824	2.94117647058824	3	KRAS	RTK-RAS	LEVEL_3A	LEVEL_3A	43
COAD	KRAS	21	724	0.0290055248618785	2.90055248618785	3	KRAS	RTK-RAS	LEVEL_3B	LEVEL_3B	43
COADREAD	KRAS	2	90	0.0222222222222222	2.22222222222222	2	KRAS	RTK-RAS	LEVEL_3B	LEVEL_3B	43
CUP	KRAS	10	146	0.0684931506849315	6.84931506849315	7	KRAS	RTK-RAS	LEVEL_3B	LEVEL_3B	43
IHCH	KRAS	1	115	0.00869565217391304	0.869565217391304	<1	KRAS	RTK-RAS	LEVEL_3B	LEVEL_3B	43
PAAD	KRAS	7	384	0.0182291666666667	1.82291666666667	2	KRAS	RTK-RAS	LEVEL_3B	LEVEL_3B	43
READ	KRAS	7	151	0.0463576158940397	4.63576158940397	5	KRAS	RTK-RAS	LEVEL_3B	LEVEL_3B	43
STAD	KRAS	2	151	0.0132450331125828	1.32450331125828	1	KRAS	RTK-RAS	LEVEL_3B	LEVEL_3B	43
THPD	KRAS	1	60	0.0166666666666667	1.66666666666667	2	KRAS	RTK-RAS	LEVEL_3B	LEVEL_3B	43
UEC	KRAS	3	95	0.0315789473684211	3.15789473684211	3	KRAS	RTK-RAS	LEVEL_3B	LEVEL_3B	43
ACYC	KRAS	1	73	0.0136986301369863	1.36986301369863	1	KRAS	RTK-RAS	LEVEL_4	LEVEL_4	43
BLCA	KRAS	16	312	0.0512820512820513	5.12820512820513	5	KRAS	RTK-RAS	LEVEL_4	LEVEL_4	43
BMGCT	KRAS	6	70	0.0857142857142857	8.57142857142857	9	KRAS	RTK-RAS	LEVEL_4	LEVEL_4	43
CHOL	KRAS	4	57	0.0701754385964912	7.01754385964912	7	KRAS	RTK-RAS	LEVEL_4	LEVEL_4	43
ESCA	KRAS	7	112	0.0625	6.25	6	KRAS	RTK-RAS	LEVEL_4	LEVEL_4	43
GBM	KRAS	1	286	0.0034965034965035	0.34965034965035	<1	KRAS	RTK-RAS	LEVEL_4	LEVEL_4	43
GIST	KRAS	1	137	0.0072992700729927	0.72992700729927	<1	KRAS	RTK-RAS	LEVEL_4	LEVEL_4	43
HGSOC	KRAS	2	133	0.0150375939849624	1.50375939849624	2	KRAS	RTK-RAS	LEVEL_4	LEVEL_4	43
IDC	KRAS	4	927	0.00431499460625674	0.431499460625674	<1	KRAS	RTK-RAS	LEVEL_4	LEVEL_4	43
ILC	KRAS	3	190	0.0157894736842105	1.57894736842105	2	KRAS	RTK-RAS	LEVEL_4	LEVEL_4	43
MDLC	KRAS	1	56	0.0178571428571429	1.78571428571429	2	KRAS	RTK-RAS	LEVEL_4	LEVEL_4	43
MFH	KRAS	1	59	0.0169491525423729	1.69491525423729	2	KRAS	RTK-RAS	LEVEL_4	LEVEL_4	43
PANET	KRAS	2	75	0.0266666666666667	2.66666666666667	3	KRAS	RTK-RAS	LEVEL_4	LEVEL_4	43
PRAD	KRAS	7	698	0.0100286532951289	1.00286532951289	1	KRAS	RTK-RAS	LEVEL_4	LEVEL_4	43
SCLC	KRAS	1	82	0.0121951219512195	1.21951219512195	1	KRAS	RTK-RAS	LEVEL_4	LEVEL_4	43
SEM	KRAS	13	76	0.171052631578947	17.1052631578947	17	KRAS	RTK-RAS	LEVEL_4	LEVEL_4	43
SKCM	KRAS	3	195	0.0153846153846154	1.53846153846154	2	KRAS	RTK-RAS	LEVEL_4	LEVEL_4	43
THPA	KRAS	3	93	0.032258064516129	3.2258064516129	3	KRAS	RTK-RAS	LEVEL_4	LEVEL_4	43
URCC	KRAS	1	54	0.0185185185185185	1.85185185185185	2	KRAS	RTK-RAS	LEVEL_4	LEVEL_4	43
UTUC	KRAS	3	82	0.0365853658536585	3.65853658536585	4	KRAS	RTK-RAS	LEVEL_4	LEVEL_4	43
LUAD	MET	42	1357	0.0309506263817244	3.09506263817244	3	MET	RTK-RAS	LEVEL_1	LEVEL_1	45
LUSC	MET	2	170	0.0117647058823529	1.17647058823529	1	MET	RTK-RAS	LEVEL_1	LEVEL_1	45
CCRCC	MET Amp	2	202	0.0099009900990099	0.99009900990099	<1	MET	RTK-RAS	LEVEL_2	LEVEL_2	45
LUAD	MET Amp	34	1357	0.0250552689756817	2.50552689756817	3	MET	RTK-RAS	LEVEL_2	LEVEL_2	45
LUSC	MET Amp	3	170	0.0176470588235294	1.76470588235294	2	MET	RTK-RAS	LEVEL_2	LEVEL_2	45
AASTR	MET Amp	3	86	0.0348837209302326	3.48837209302326	3	MET	RTK-RAS	LEVEL_3B	LEVEL_3B	45
BLCA	MET Amp	1	312	0.00320512820512821	0.32051282051282	<1	MET	RTK-RAS	LEVEL_3B	LEVEL_3B	45
CHOL	MET Amp	1	57	0.0175438596491228	1.75438596491228	2	MET	RTK-RAS	LEVEL_3B	LEVEL_3B	45
COAD	MET Amp	9	724	0.0124309392265193	1.24309392265193	1	MET	RTK-RAS	LEVEL_3B	LEVEL_3B	45
COADREAD	MET Amp	1	90	0.0111111111111111	1.11111111111111	1	MET	RTK-RAS	LEVEL_3B	LEVEL_3B	45
CUP	MET	1	146	0.00684931506849315	0.684931506849315	<1	MET	RTK-RAS	LEVEL_3B	LEVEL_3B	45
CUP	MET Amp	1	146	0.00684931506849315	0.684931506849315	<1	MET	RTK-RAS	LEVEL_3B	LEVEL_3B	45
ESCA	MET Amp	2	112	0.0178571428571429	1.78571428571429	2	MET	RTK-RAS	LEVEL_3B	LEVEL_3B	45
GBM	MET Amp	6	286	0.020979020979021	2.0979020979021	2	MET	RTK-RAS	LEVEL_3B	LEVEL_3B	45
HGSOC	MET Amp	1	133	0.0075187969924812	0.75187969924812	<1	MET	RTK-RAS	LEVEL_3B	LEVEL_3B	45
IDC	MET Amp	2	927	0.00215749730312837	0.215749730312837	<1	MET	RTK-RAS	LEVEL_3B	LEVEL_3B	45
MFH	MET Amp	2	59	0.0338983050847458	3.38983050847458	3	MET	RTK-RAS	LEVEL_3B	LEVEL_3B	45
PRAD	MET Amp	1	698	0.00143266475644699	0.143266475644699	<1	MET	RTK-RAS	LEVEL_3B	LEVEL_3B	45
READ	MET Amp	2	151	0.0132450331125828	1.32450331125828	1	MET	RTK-RAS	LEVEL_3B	LEVEL_3B	45
SKCM	MET Amp	1	195	0.00512820512820513	0.512820512820513	<1	MET	RTK-RAS	LEVEL_3B	LEVEL_3B	45
STAD	MET Amp	5	151	0.033112582781457	3.3112582781457	3	MET	RTK-RAS	LEVEL_3B	LEVEL_3B	45
AASTR	NF1 Del	8	86	0.0930232558139535	9.30232558139535	9	NF1	RTK-RAS	LEVEL_4	LEVEL_4	47
BLCA	NF1 Del	5	312	0.016025641025641	1.6025641025641	2	NF1	RTK-RAS	LEVEL_4	LEVEL_4	47
BMGCT	NF1 Del	1	70	0.0142857142857143	1.42857142857143	1	NF1	RTK-RAS	LEVEL_4	LEVEL_4	47
CCRCC	NF1 Del	1	202	0.00495049504950495	0.495049504950495	<1	NF1	RTK-RAS	LEVEL_4	LEVEL_4	47
CHOL	NF1 Del	1	57	0.0175438596491228	1.75438596491228	2	NF1	RTK-RAS	LEVEL_4	LEVEL_4	47
COAD	NF1 Del	16	724	0.0220994475138122	2.20994475138122	2	NF1	RTK-RAS	LEVEL_4	LEVEL_4	47
COADREAD	NF1 Del	2	90	0.0222222222222222	2.22222222222222	2	NF1	RTK-RAS	LEVEL_4	LEVEL_4	47
CSCC	NF1 Del	4	55	0.0727272727272727	7.27272727272727	7	NF1	RTK-RAS	LEVEL_4	LEVEL_4	47
CUP	NF1 Del	3	146	0.0205479452054795	2.05479452054794	2	NF1	RTK-RAS	LEVEL_4	LEVEL_4	47
ESCA	NF1 Del	4	112	0.0357142857142857	3.57142857142857	4	NF1	RTK-RAS	LEVEL_4	LEVEL_4	47
GBM	NF1 Del	53	286	0.185314685314685	18.5314685314685	19	NF1	RTK-RAS	LEVEL_4	LEVEL_4	47
GIST	NF1 Del	14	137	0.102189781021898	10.2189781021898	10	NF1	RTK-RAS	LEVEL_4	LEVEL_4	47
HGSOC	NF1 Del	10	133	0.075187969924812	7.5187969924812	8	NF1	RTK-RAS	LEVEL_4	LEVEL_4	47
IDC	NF1 Del	47	927	0.0507011866235167	5.07011866235167	5	NF1	RTK-RAS	LEVEL_4	LEVEL_4	47
IHCH	NF1 Del	3	115	0.0260869565217391	2.60869565217391	3	NF1	RTK-RAS	LEVEL_4	LEVEL_4	47
ILC	NF1 Del	9	190	0.0473684210526316	4.73684210526316	5	NF1	RTK-RAS	LEVEL_4	LEVEL_4	47
LUAD	NF1 Del	63	1357	0.0464259395725866	4.64259395725866	5	NF1	RTK-RAS	LEVEL_4	LEVEL_4	47
LUSC	NF1 Del	8	170	0.0470588235294118	4.70588235294118	5	NF1	RTK-RAS	LEVEL_4	LEVEL_4	47
MCC	NF1 Del	1	63	0.0158730158730159	1.58730158730159	2	NF1	RTK-RAS	LEVEL_4	LEVEL_4	47
MDLC	NF1 Del	3	56	0.0535714285714286	5.35714285714286	5	NF1	RTK-RAS	LEVEL_4	LEVEL_4	47
MFH	NF1 Del	5	59	0.0847457627118644	8.47457627118644	8	NF1	RTK-RAS	LEVEL_4	LEVEL_4	47
NBL	NF1 Del	1	80	0.0125	1.25	1	NF1	RTK-RAS	LEVEL_4	LEVEL_4	47
PAAD	NF1 Del	2	384	0.00520833333333333	0.520833333333333	<1	NF1	RTK-RAS	LEVEL_4	LEVEL_4	47
PANET	NF1 Del	1	75	0.0133333333333333	1.33333333333333	1	NF1	RTK-RAS	LEVEL_4	LEVEL_4	47
PRAD	NF1 Del	2	698	0.00286532951289398	0.286532951289398	<1	NF1	RTK-RAS	LEVEL_4	LEVEL_4	47
READ	NF1 Del	4	151	0.0264900662251656	2.64900662251656	3	NF1	RTK-RAS	LEVEL_4	LEVEL_4	47
SCLC	NF1 Del	2	82	0.024390243902439	2.4390243902439	2	NF1	RTK-RAS	LEVEL_4	LEVEL_4	47
SKCM	NF1 Del	35	195	0.179487179487179	17.9487179487179	18	NF1	RTK-RAS	LEVEL_4	LEVEL_4	47
STAD	NF1 Del	3	151	0.0198675496688742	1.98675496688742	2	NF1	RTK-RAS	LEVEL_4	LEVEL_4	47
THPD	NF1 Del	1	60	0.0166666666666667	1.66666666666667	2	NF1	RTK-RAS	LEVEL_4	LEVEL_4	47
UEC	NF1 Del	6	95	0.0631578947368421	6.31578947368421	6	NF1	RTK-RAS	LEVEL_4	LEVEL_4	47
ULMS	NF1 Del	1	57	0.0175438596491228	1.75438596491228	2	NF1	RTK-RAS	LEVEL_4	LEVEL_4	47
UTUC	NF1 Del	2	82	0.024390243902439	2.4390243902439	2	NF1	RTK-RAS	LEVEL_4	LEVEL_4	47
COADREAD	NTRK1 Fus	1	90	0.0111111111111111	1.11111111111111	1	NTRK1	RTK-RAS	LEVEL_1	LEVEL_1	49
LUAD	NTRK1 Fus	2	1357	0.00147383935151069	0.147383935151069	<1	NTRK1	RTK-RAS	LEVEL_1	LEVEL_1	49
READ	NTRK1 Fus	1	151	0.00662251655629139	0.662251655629139	<1	NTRK1	RTK-RAS	LEVEL_1	LEVEL_1	49
SKCM	NTRK1 Fus	2	195	0.0102564102564103	1.02564102564103	1	NTRK1	RTK-RAS	LEVEL_1	LEVEL_1	49
COAD	NTRK3 Fus	1	724	0.00138121546961326	0.138121546961326	<1	NTRK3	RTK-RAS	LEVEL_1	LEVEL_1	53
